id	name
361	STABLE COTTAGE
362	FLAT 64
363	LAND ON THE EAST SIDE OF
364	22B
365	VILLAGE HALL
366	UNIT D
367	PLOT 36
368	68A
369	UNIT 21
370	FLAT H
371	GARDEN COTTAGE
372	23B
373	STREET ONLY
374	OFFICES
375	ROOM 8
376	UNIT 2A
377	70A
378	24B
379	PLOT 37
380	71A
381	THE CROFT
382	LAND NORTH OF
383	APARTMENT 11
384	PUMP HOUSE
385	PLOT 38
386	GARAGES
387	LAND ON THE WEST SIDE OF
388	2D
389	FLAT 65
390	72A
391	GARAGE 13
392	PLOT 39
393	3C
394	PLOT 40
395	FLAT 66
396	PUBLIC CONVENIENCE
397	UNIT 22
398	APARTMENT 12
399	FIRST AND SECOND FLOORS
400	73A
401	GARAGE 14
402	PLOT 41
403	74A
404	25B
405	YEW TREE COTTAGE
406	27B
407	3-4
408	PLOT 42
409	26B
410	WOODSIDE
411	MILL HOUSE
412	NEW HOUSE
413	KEEPERS COTTAGE
414	THE FIRS
415	LAND ADJACENT
416	THE LAURELS
417	PLOT 43
418	STABLES
419	LAND ADJACENT TO
420	75A
421	THE VICARAGE
422	LAND EAST OF
423	4C
424	THE OLD VICARAGE
425	PLOT 44
426	76A
427	MANAGERS FLAT
428	GARAGE BLOCK
429	BASEMENT AND GROUND FLOOR FLAT
430	79A
431	2F
432	2-3
433	FLAT 71
434	28B
435	GARAGE 15
436	PLOT 45
437	FLAT 67
438	78A
439	LAND WEST OF
440	SUITE 1
441	2F3
442	29B
443	FLAT 72
444	80A
445	UNIT 3A
446	77A
447	THE HOLLIES
448	HOME FARM
449	PLOT 46
450	1F3
451	UNIT 23
452	81A
453	FLAT 68
454	THE BEECHES
455	HOLLY COTTAGE
456	THE OLD POST OFFICE
457	FLAT 1-1
458	1/1
459	5-7
460	PLOT 47
461	31B
462	UNIT 1B
463	PLOT 48
464	FLAT 73
465	SUITE 2
466	1/2
467	5C
468	THE GRANGE
469	GARAGE 16
470	UNIT 24
471	32B
472	OPEN SPACE
473	82A
474	FLAT 69
475	FLAT 0/3
476	PLOT 49
477	83A
478	FIFTH FLOOR
479	THE ORCHARD
480	3F3
481	APARTMENT 14
482	30B
483	FLAT 74
484	6C
485	FIRST FLOOR REAR
486	FLAT 1-2
487	WAYSIDE
488	36B
489	PLOT 50
490	SPRINGFIELD
491	85A
492	FLAT 70
493	3-5
494	THE HAVEN
495	GROUND FLOOR REAR
496	RECREATION GROUND
497	UNIT E
498	ROOM 9
499	STATION HOUSE
500	6-8
501	FAIRVIEW
502	84A
503	FLAT BASEMENT
504	ALLOTMENTS
505	FIRST FLOOR FRONT
506	33B
507	PLOT 51
508	35B
509	7C
510	87A
511	FLAT 2A
512	PLOT 52
513	APARTMENT 15
514	THE WHITE HOUSE
515	34B
516	THE OLD BARN
517	FLAT 75
518	86A
519	COACH HOUSE
520	GARAGE 17
521	FIRST FLOOR LEFT
522	PLOT 53
523	CARAVAN AT
524	FIRST FLOOR RIGHT
525	WILLOW COTTAGE
526	37B
527	4-6
528	COMMUNITY CENTRE
529	FLAT 76
530	FLAT 1ST AND 2ND FLOOR
531	PLOT 54
532	UNIT 25
533	88A
534	9-11
535	8C
536	THE RECTORY
537	PLOT 55
538	UNIT 4A
539	WAR MEMORIAL
540	SUITE 3
541	SEWAGE WORKS
542	GARAGE SITE
543	89A
544	91A
545	BUNGALOW
546	GARAGE 18
547	G/1
548	10-12
549	GREENACRES
550	38B
551	BARN
552	90A
553	THE STUDIO
554	5-6
555	OLD SCHOOL HOUSE
556	APARTMENT 16
557	G/2
558	FLAT 101
559	PLOT 56
560	FLAT 2-1
561	GROUND FLOOR FRONT
562	2/1
563	FLAT 102
564	SOUTH VIEW
565	THE OAKS
566	PLOT 57
567	39B
568	THE OLD SCHOOL HOUSE
569	7-9
570	THE OLD CHAPEL
571	THE OLD SCHOOL
572	2/2
573	PLOT 58
574	OFFICE 1
575	9C
576	WEST VIEW
577	THE OLD STABLES
578	41B
579	GROUND FLOOR REAR FLAT
580	PLOT 59
581	UNIT 2B
582	95A
583	92A
584	93A
585	GF
586	94A
587	OFFICE 2
588	40B
